Category,Sum Sales,Count
Sports & Outdoors,1352017.88,11038
Food,115532.4,4140
Health,134823.31,3924
Baby,140458.14,2754
Personal Care,52060.56,2313
Household Essentials,51105.47,1970
Toys,140128.98,870
Beauty,12443.77,808
Home,39244.24,476
Clothing,19436.84,446
Premium Beauty,13958.84,413
Shop by Brand,3981.53,158
Patio & Garden,25933.36,120
Home Improvement,4042.49,110
Auto & Tires,3507.0,76
Party & Occasions,1470.48,75
Pets,4858.18,74
Electronics,3344.02,56
Seasonal,1554.22,44
Industrial & Scientific,1320.96,30
Feature,271.11,15
Books,581.53,14
Video Games,4373.32,12
Arts Crafts & Sewing,92.44,8
Jewelry,80.49,8
Walmart for Business,112.21,7
Office Supplies,193.69,5
Character Shop,111.66,5
Shop by Movie,72.6,4
Cell Phones,32.0,4
Collectibles,325.98,3
Musical Instruments,37.52,2
Music,11.06,1
