Category,Count
Sports & Outdoors,11038
Food,4140
Health,3924
Baby,2754
Personal Care,2313
Household Essentials,1970
Toys,870
Beauty,808
Home,476
Clothing,446
Premium Beauty,413
Shop by Brand,158
Patio & Garden,120
Home Improvement,110
Auto & Tires,76
Party & Occasions,75
Pets,74
Electronics,56
Seasonal,44
Industrial & Scientific,30
Feature,15
Books,14
Video Games,12
Jewelry,8
Arts Crafts & Sewing,8
Walmart for Business,7
Office Supplies,5
Character Shop,5
Cell Phones,4
Shop by Movie,4
Collectibles,3
Musical Instruments,2
Music,1
